Id,Label,name,Degree
n0,Andrew Rice,Andrew Rice,1
n1,Gillian Horne,Gillian Horne,3
n2,Helen Stewart,Helen Stewart,3
n3,Sarah Bastow,Sarah Bastow,3
n4,Andrew Kung,Andrew Kung,47
n5,Bjoern Chapuy,Bjoern Chapuy,15
n6,Charles Lin,Charles Lin,33
n7,Elaine Reichert,Elaine Reichert,15
n8,Heather Sun,Heather Sun,15
n9,James Bradner,James Bradner,196
n10,John Doench,John Doench,15
n11,Jun Qi,Jun Qi,97
n12,Kelly Yeda,Kelly Yeda,15
n13,Margaret Shipp,Margaret Shipp,15
n14,Margaretha Roemer,Margaretha Roemer,15
n15,Michael McKeown,Michael McKeown,24
n16,Peter Rahl,Peter Rahl,15
n17,Richard Young,Richard Young,44
n18,Scott Rodig,Scott Rodig,21
n19,Anna Belkina,Anna Belkina,10
n20,Barbara Nikolajczyk,Barbara Nikolajczyk,3
n21,Gerald Denis,Gerald Denis,12
n22,Brenton Paolella,Brenton Paolella,24
n23,Brian Nguyen,Brian Nguyen,24
n24,Fredrik Swartling,Fredrik Swartling,24
n25,Furong Yu,Furong Yu,24
n26,Guillaume Bergthold,Guillaume Bergthold,24
n27,Kun-Wei Liu,Kun-Wei Liu,24
n28,Mark Kieran,Mark Kieran,24
n29,Nujsaubnusi Vue,Nujsaubnusi Vue,24
n30,Pratiti Bandopadhayay,Pratiti Bandopadhayay,24
n31,Rameen Beroukhim,Rameen Beroukhim,43
n32,Rhamy Zeid,Rhamy Zeid,37
n33,Robert Wechsler-Reya,Robert Wechsler-Reya,24
n34,Sabran Masoud,Sabran Masoud,24
n35,Samuel Cheshier,Samuel Cheshier,24
n36,Sara Bolin,Sara Bolin,24
n37,Sharareh Gholamin,Sharareh Gholamin,24
n38,Siddhartha Mitra,Siddhartha Mitra,24
n39,Simone Schubert,Simone Schubert,24
n40,Steven Schumacher,Steven Schumacher,43
n41,William Gibson,William Gibson,24
n42,William Weiss,William Weiss,37
n43,Yoon-Jae Cho,Yoon-Jae Cho,24
n44,Amanda Jamieson,Amanda Jamieson,8
n45,Felix Rosebrock,Felix Rosebrock,8
n46,Isabella Rauch,Isabella Rauch,8
n47,Johannes Zuber,Johannes Zuber,39
n48,Mathias Müller,Mathias Müller,8
n49,Matthias Muhar,Matthias Muhar,31
n50,Sebastian Wienerroither,Sebastian Wienerroither,8
n51,Alexander Schramm,Alexander Schramm,13
n52,Andrea Odersky,Andrea Odersky,13
n53,Angelika Eggert,Angelika Eggert,13
n54,Anneleen Beckers,Anneleen Beckers,13
n55,Anton Henssen,Anton Henssen,13
n56,Frank Speleman,Frank Speleman,13
n57,Gudrun Fleischhack,Gudrun Fleischhack,13
n58,Johannes Schulte,Johannes Schulte,13
n59,Kristina Althoff,Kristina Althoff,13
n60,Lukas Heukamp,Lukas Heukamp,13
n61,Nicolai El-Hindy,Nicolai El-Hindy,13
n62,Simon Schäfers,Simon Schäfers,13
n63,Theresa Thor,Theresa Thor,13
n64,Christine Helfer,Christine Helfer,7
n65,Jianxin You,Jianxin You,10
n66,Gutian Xiao,Gutian Xiao,4
n67,Lin-Feng Chen,Lin-Feng Chen,4
n68,Petra Mlcochova,Petra Mlcochova,2
n69,Ravindra Gupta,Ravindra Gupta,2
n70,Axel Schambach,Axel Schambach,9
n71,Azar Sharif,Azar Sharif,9
n72,Goedele Maertens,Goedele Maertens,9
n73,Magdalena Weidner-Glunde,Magdalena Weidner-Glunde,18
n74,Melanie Galla,Melanie Galla,9
n75,Michael Rothe,Michael Rothe,9
n76,Peter Cherepanov,Peter Cherepanov,9
n77,Saumya Gupta,Saumya Gupta,9
n78,Thomas Schulz,Thomas Schulz,18
n79,Alec Kimmelman,Alec Kimmelman,14
n80,Eiki Kikuchi,Eiki Kikuchi,14
n81,Esra Akbay,Esra Akbay,14
n82,Jeremy Tchaicha,Jeremy Tchaicha,14
n83,Julian Carretero,Julian Carretero,14
n84,Katherine Cheng,Katherine Cheng,14
n85,Kwok-Kin Wong,Kwok-Kin Wong,14
n86,Margaret Soucheray,Margaret Soucheray,14
n87,Takeshi Shimamura,Takeshi Shimamura,14
n88,Travis Cohoon,Travis Cohoon,14
n89,Yandi Gao,Yandi Gao,14
n90,Brian Reid,Brian Reid,7
n91,Jessica Spiltoir,Jessica Spiltoir,7
n92,Kim Demos-Davies,Kim Demos-Davies,7
n93,Maria Cavasin,Maria Cavasin,7
n94,Matthew Stratton,Matthew Stratton,7
n95,A Agathanggelou,A Agathanggelou,13
n96,A Zlatanou,A Zlatanou,13
n97,C Oldreive,C Oldreive,13
n98,D Da Costa,D Da Costa,13
n99,E Petermann,E Petermann,13
n100,E Smith,E Smith,13
n101,G Stewart,G Stewart,13
n102,J Longman,J Longman,13
n103,P Kearns,P Kearns,13
n104,S Knapp,S Knapp,13
n105,T Perry,T Perry,13
n106,T Stankovic,T Stankovic,13
n107,V Weston,V Weston,13
n108,Alexandra Debernardi,Alexandra Debernardi,37
n109,Anouk Emadali,Anouk Emadali,20
n110,Benoit Bernay,Benoit Bernay,20
n111,Carlo Petosa,Carlo Petosa,20
n112,Charles McKenna,Charles McKenna,20
n113,Christophe Bruley,Christophe Bruley,20
n114,Claire Rome,Claire Rome,20
n115,Dominique Leroux,Dominique Leroux,20
n116,Elena Ferri,Elena Ferri,20
n117,Florence Combes,Florence Combes,20
n118,Jérôme Garin,Jérôme Garin,20
n119,Juliana Bruder-Costa,Juliana Bruder-Costa,20
n120,Mary Callanan,Mary Callanan,20
n121,Myriam Ferro,Myriam Ferro,20
n122,Patricia Betton,Patricia Betton,20
n123,Rémy Gressin,Rémy Gressin,20
n124,Saadi Khochbin,Saadi Khochbin,39
n125,Samuel Duley,Samuel Duley,20
n126,Sieme Hamaidia,Sieme Hamaidia,20
n127,Sophie Rousseaux,Sophie Rousseaux,39
n128,Alison Slaughter,Alison Slaughter,14
n129,Amit Sharma,Amit Sharma,14
n130,Elizabeth Coward,Elizabeth Coward,14
n131,Frances Male,Frances Male,14
n132,Frederic Bushman,Frederic Bushman,24
n133,Jacques Kessl,Jacques Kessl,14
n134,Li Wu,Li Wu,14
n135,Mamuka Kvaratskhelia,Mamuka Kvaratskhelia,14
n136,Matthew Plumb,Matthew Plumb,14
n137,Monica Roth,Monica Roth,14
n138,Nikolozi Shkriabai,Nikolozi Shkriabai,14
n139,Nirav Malani,Nirav Malani,24
n140,Patrick Green,Patrick Green,14
n141,Ross Larue,Ross Larue,14
n142,B Tolani,B Tolani,4
n143,H Matta,H Matta,4
n144,P Chaudhary,P Chaudhary,4
n145,R Gopalakrishnan,R Gopalakrishnan,4
n146,Alan Holmes,Alan Holmes,17
n147,Carla Bauer,Carla Bauer,22
n148,Christopher Denton,Christopher Denton,17
n149,Christopher Kitson,Christopher Kitson,22
n150,Christopher Stevenson,Christopher Stevenson,22
n151,Cory Hogaboam,Cory Hogaboam,17
n152,David Budd,David Budd,22
n153,Gaurav Tyagi,Gaurav Tyagi,17
n154,Jeremy Deguzman,Jeremy Deguzman,22
n155,Jonathan Phillips,Jonathan Phillips,17
n156,Julie DeMartino,Julie DeMartino,17
n157,Maria Fuentes,Maria Fuentes,22
n158,Qi Luo,Qi Luo,17
n159,Rosario Garrido,Rosario Garrido,17
n160,Ruoqi Peng,Ruoqi Peng,22
n161,Subramanium Apparsundaram,Subramanium Apparsundaram,22
n162,Xiaoyan Tang,Xiaoyan Tang,22
n163,Giuseppina Caretti,Giuseppina Caretti,4
n164,James Ryall,James Ryall,4
n165,Raffaella Fittipaldi,Raffaella Fittipaldi,4
n166,Valentina Proserpio,Valentina Proserpio,4
n167,Angela Gibbs,Angela Gibbs,10
n168,Beth Wilmot,Beth Wilmot,10
n169,Daniel Bottomly,Daniel Bottomly,10
n170,Ilsa Coleman,Ilsa Coleman,10
n171,Jacob Schwartzman,Jacob Schwartzman,10
n172,Joshi Alumkal,Joshi Alumkal,10
n173,Lina Gao,Lina Gao,10
n174,Peter Nelson,Peter Nelson,10
n175,Richard Kleinschmidt,Richard Kleinschmidt,10
n176,Robert Lisac,Robert Lisac,10
n177,B Huang,B Huang,7
n178,H Zhang,H Zhang,7
n179,J Bradner,J Bradner,19
n180,J Qi,J Qi,7
n181,L-F Chen,L-F Chen,7
n182,S Nair,S Nair,7
n183,X Wu,X Wu,7
n184,Anup Dey,Anup Dey,10
n185,Keiko Ozato,Keiko Ozato,51
n186,Matthew Smith,Matthew Smith,8
