Id,Label,name,Degree
n0,Daniela Boehm,Daniela Boehm,14
n1,Eric Verdin,Eric Verdin,23
n2,James Bradner,James Bradner,101
n3,Katherine Aull,Katherine Aull,14
n4,Laura Martins,Laura Martins,14
n5,Leor Weinberger,Leor Weinberger,14
n6,Melanie Ott,Melanie Ott,23
n7,Ming-Ming Zhou,Ming-Ming Zhou,46
n8,Pao-Chen Li,Pao-Chen Li,14
n9,Robert Siliciano,Robert Siliciano,15
n10,Roy Dar,Roy Dar,14
n11,Sebastian Schroeder,Sebastian Schroeder,14
n12,Sifei Xing,Sifei Xing,14
n13,Vicente Planelles,Vicente Planelles,14
n14,Christopher Vakoc,Christopher Vakoc,44
n15,Hans-Peter Horny,Hans-Peter Horny,11
n16,Harald Herrmann,Harald Herrmann,24
n17,Johannes Zuber,Johannes Zuber,24
n18,Junwei Shi,Junwei Shi,44
n19,Karoline Gleixner,Karoline Gleixner,23
n20,Katharina Blatt,Katharina Blatt,24
n21,Leonhard Müllauer,Leonhard Müllauer,11
n22,Peter Valent,Peter Valent,36
n23,Sabine Cerny-Reiterer,Sabine Cerny-Reiterer,11
n24,Michelle Zinchenko,Michelle Zinchenko,1
n25,Christopher Buck,Christopher Buck,5
n26,Jianxin You,Jianxin You,10
n27,Jing Jiao,Jing Jiao,10
n28,Jing Li,Jing Li,5
n29,Rachel Schowalter,Rachel Schowalter,5
n30,Carine Lefèvre,Carine Lefèvre,8
n31,Leila Maouche-Chrétien,Leila Maouche-Chrétien,8
n32,Marine Granger,Marine Granger,8
n33,Olivier Goupille,Olivier Goupille,8
n34,Philippe Leboulch,Philippe Leboulch,8
n35,Stany Chrétien,Stany Chrétien,8
n36,Suthat Fucharoen,Suthat Fucharoen,8
n37,Tipparat Penglong,Tipparat Penglong,8
n38,Harold Varmus,Harold Varmus,3
n39,Kreshnik Zejnullahu,Kreshnik Zejnullahu,3
n40,Jia Guo,Jia Guo,3
n41,Qiang Zhou,Qiang Zhou,6
n42,Yuntao Wu,Yuntao Wu,3
n43,Calvin Sum,Calvin Sum,11
n44,Celine Prakash,Celine Prakash,11
n45,Henry Yang,Henry Yang,11
n46,Jeffrey Kwok,Jeffrey Kwok,11
n47,Keh-Chuang Chin,Keh-Chuang Chin,11
n48,Nina Thiessen,Nina Thiessen,11
n49,Stefan Knapp,Stefan Knapp,69
n50,Steven Jones,Steven Jones,11
n51,Sven Pettersson,Sven Pettersson,11
n52,Weishi Zhang,Weishi Zhang,11
n53,Yinghui Li,Yinghui Li,11
n54,David Grimes,David Grimes,2
n55,Debra Wolgemuth,Debra Wolgemuth,34
n56,Abraham Brass,Abraham Brass,9
n57,Bruce Walker,Bruce Walker,9
n58,Christopher Chin,Christopher Chin,9
n59,Gaurav Gaiha,Gaurav Gaiha,9
n60,Geng Gao,Geng Gao,9
n61,Hongjing Qu,Hongjing Qu,9
n62,Jian Zhu,Jian Zhu,9
n63,Sinu John,Sinu John,9
n64,Stephen Elledge,Stephen Elledge,9
n65,B Peterlin,B Peterlin,3
n66,Koen Bartholomeeusen,Koen Bartholomeeusen,3
n67,Koh Fujinaga,Koh Fujinaga,3
n68,Andrew Kung,Andrew Kung,45
n69,Christopher Ott,Christopher Ott,9
n70,David Weinstock,David Weinstock,9
n71,Jun Qi,Jun Qi,53
n72,Liat Bird,Liat Bird,9
n73,Nadja Kopp,Nadja Kopp,9
n74,Ronald Paranal,Ronald Paranal,29
n75,Scott Rodig,Scott Rodig,9
n76,Julio Agno,Julio Agno,11
n77,Lang Ma,Lang Ma,11
n78,Madeleine Lemieux,Madeleine Lemieux,47
n79,Martin Matzuk,Martin Matzuk,11
n80,Michael McKeown,Michael McKeown,31
n81,Panagis Filippakopoulos,Panagis Filippakopoulos,51
n82,Qinglei Li,Qinglei Li,11
n83,Richard Yu,Richard Yu,11
n84,Sarah Picaud,Sarah Picaud,51
n85,Anna Belkina,Anna Belkina,8
n86,Camellia Banerjee,Camellia Banerjee,8
n87,Daniel Michaels,Daniel Michaels,8
n88,David Margolis,David Margolis,8
n89,Gerald Denis,Gerald Denis,8
n90,Monty Montano,Monty Montano,8
n91,Nancie Archin,Nancie Archin,8
n92,Helen Webb,Helen Webb,2
n93,Michelle West,Michelle West,2
n94,Andrew Conery,Andrew Conery,7
n95,Barbara Bryant,Barbara Bryant,7
n96,Deanna Mele,Deanna Mele,7
n97,Jennifer Mertz,Jennifer Mertz,7
n98,Louise Bergeron,Louise Bergeron,7
n99,Peter Sandy,Peter Sandy,7
n100,Robert Sims,Robert Sims,15
n101,Anna Schinzel,Anna Schinzel,23
n102,Constantine Mitsiades,Constantine Mitsiades,23
n103,Efstathios Kastritis,Efstathios Kastritis,23
n104,Ghayas Issa,Ghayas Issa,23
n105,Hannah Jacobs,Hannah Jacobs,23
n106,Irene Ghobrial,Irene Ghobrial,23
n107,Jake Delmore,Jake Delmore,23
n108,Kenneth Anderson,Kenneth Anderson,23
n109,Marta Chesi,Marta Chesi,30
n110,P Bergsagel,P Bergsagel,30
n111,Paul Richardson,Paul Richardson,23
n112,Peter Rahl,Peter Rahl,23
n113,Richard Young,Richard Young,23
n114,Timothy Gilpatrick,Timothy Gilpatrick,23
n115,Timothy Heffernan,Timothy Heffernan,23
n116,Agustin Chicas,Agustin Chicas,19
n117,Amy Rappaport,Amy Rappaport,19
n118,Christopher Johns,Christopher Johns,19
n119,Daniel Magoon,Daniel Magoon,19
n120,Edward Sison,Edward Sison,19
n121,Eric Wang,Eric Wang,19
n122,James Mulloy,James Mulloy,19
n123,Mark Wunderlich,Mark Wunderlich,19
n124,Meredith Taylor,Meredith Taylor,19
n125,Patrick Brown,Patrick Brown,19
n126,Scott Kogan,Scott Kogan,19
n127,John Denu,John Denu,1
n128,A Bibonne,A Bibonne,5
n129,C Leclerc,C Leclerc,5
n130,I Néant,I Néant,5
n131,J Batut,J Batut,5
n132,M Moreau,M Moreau,5
n133,Jyoti Choudhuri,Jyoti Choudhuri,3
n134,Manjeet Gill-Sharma,Manjeet Gill-Sharma,3
n135,Mukhtar Ansari,Mukhtar Ansari,3
n136,De-Shen Wang,De-Shen Wang,9
n137,Dong-Liang Chen,Dong-Liang Chen,9
n138,Fan He,Fan He,9
n139,Feng Wang,Feng Wang,9
